type,id,note
draft,1366877554073403392,#SFB16 - Zelda (The Legend of Zelda) (drafting)
draft,1366444634699493376,#SFB16 Barcelona - Mario Kart 64 (drafting)
draft,1366444439190372352,#SFB16 Barcelona - The Legend of Zelda (drafting)
draft,1367870273482665984,#SFB16 - Bubble Bobble (drafting)
draft,1367864051450806272,#SFB16 - FIFA Football (drafting)
draft,1367759495396085760,#SFB16 - Korok (drafting)
draft,1367756943631843328,#SFB16 - Mario Kart 64 (drafting)
draft,1367660652008583168,#SFB16 - Oregon Trail (drafting)
draft,1367262396883673088,#SFB16 - Pokémon Gold and Silver (drafting)
draft,1367188029680156672,#SFB16 - Ryu (Street Fighter II) (drafting)
draft,1383225689943048192,#SFB16 - Forza (drafting)
draft,1378478876694421504,#SFB16 Washington DC - Tecmo Bowl (drafting)
draft,1378150710729773056,#SFB16 Michigan - City of Heroes (drafting)
draft,1370176972646281216,#SFB16 Chicago - Kirby (drafting)
draft,1366446140450414592,#SFB16 Atlanta - Asteroids (complete)
draft,1366445936066199552,#SFB16 Atlanta - Burger Time (drafting)
draft,1366445711050162176,#SFB16 Atlanta - Frogger (complete)
draft,1366445461249998848,#SFB16 Atlanta - Pitfall (drafting)
draft,1366445251153117184,#SFB16 Baltimore - Angry Birds (complete)
draft,1366445024652296192,#SFB16 Baltimore - Candy Crush (complete)
draft,1366444840744669184,#SFB16 Baltimore - Clash of Clans (complete)
draft,1366444250664833024,#SFB16 Boise - Animal Crossing (drafting)
draft,1366444023916560384,#SFB16 Boise - Tecmo Bowl (drafting)
draft,1367855436119707648,#SFB16 Chicago - Chrono Trigger (drafting)
draft,1366439873023602688,#SFB16 Chicago - Donkey Kong Country (drafting)
draft,1366439700776099840,#SFB16 Chicago - Gran Turismo (drafting)
draft,1366439517988352000,#SFB16 Chicago - Pokémon Red and Blue (complete)
draft,1366439342683213824,#SFB16 Chicago - Spyro (complete)
draft,1366439115196747776,#SFB16 Chicago - Star Fox (drafting)
draft,1366438907339640832,#SFB16 Chicago - Super Mario Kart (drafting)
draft,1366438704859607040,#SFB16 Chicago - Super Smash Bros. Ultimate (drafting)
draft,1366438461074071552,#SFB16 Chicago - You Don't Know Jack (drafting)
draft,1366435571920019456,#SFB16 Cleveland - Axel Steel (Guitar Hero) (drafting)
draft,1366435375484006400,#SFB16 Cleveland - Johnny Napalm (Guitar Hero) (complete)
draft,1366435149956280320,#SFB16 Cleveland - Judy Nails (Guitar Hero) (complete)
draft,1366408963293208576,#SFB16 Michigan - Alpha Centauri (drafting)
draft,1366408783756009472,#SFB16 Michigan - Cabela's Ultimate Deer Hunt (drafting)
draft,1366408611172982784,#SFB16 Michigan - Civilization (drafting)
draft,1366408449432260608,#SFB16 Michigan - PBA Pro Bowling (drafting)
draft,1366408288974934016,#SFB16 Michigan - Portal (drafting)
draft,1366408099438551040,#SFB16 Michigan - RoboCop: Rogue City (complete)
draft,1366396482592178176,#SFB16 Portland - Tetris (complete)
draft,1366396249330192384,#SFB16 Portland - Tron (complete)
draft,1366394202270748672,#SFB16 San Francisco - GTA San Andreas (drafting)
draft,1366394045592522752,#SFB16 San Francisco - Road Rash (drafting)
draft,1366393914126241792,#SFB16 San Francisco - Tony Hawk (drafting)
draft,1366393743632011264,#SFB16 San Francisco - Watch Dogs 2 (drafting)
draft,1366392058666835968,#SFB16 Vancouver - Blades of Steel (complete)
draft,1366391564884000768,#SFB16 Vancouver - Cool Boarders (drafting)
draft,1366391374101897216,#SFB16 Vancouver - NHL94 (complete)
draft,1366391152072204288,#SFB16 Washington DC - Call of Duty:ModernWarfare2 (complete)
draft,1366390749981052928,#SFB16 Washington DC - Duke Nukem (complete)
draft,1366390516966494208,#SFB16 Washington DC - Fallout 3 (drafting)
draft,1366388622399385600,#SFB16 Washington DC - Princess Peach (Super Mario (drafting)
