player_id,player,team,pos,season,week,snaps,snaps_pct,rush_att,rush_att_pct,targets,targets_pct,rec,ez_tgts,ez_tgts_pct,inside5_rush,inside5_rush_pct,adot,air_yards_total,team_targets,team_rush_att,team_ez_tgts,team_inside5_rush
00-0032764,Derrick Henry,BAL,RB,2026,2,31,53.0,16,72.7,3,10.3,3,0,0.0,1,100.0,-4.3,-13.0,29,22,1,1
00-0035719,Deebo Samuel Sr.,SF,WR,2026,2,31,60.0,1,3.7,4,19.0,3,0,0.0,0,0.0,4.8,19.0,21,27,1,5
00-0038488,Brady Russell,SEA,RB,2026,2,31,44.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,26,40,3,8
00-0034365,Ian Thomas,LV,TE,2026,2,31,49.0,0,0.0,1,3.4,1,0,0.0,0,0.0,1.0,1.0,29,29,4,4
00-0035249,Josh Oliver,MIN,TE,2026,2,31,60.0,0,0.0,1,5.3,1,0,0.0,0,0.0,5.0,5.0,19,28,1,0
00-0040024,Darius Cooper,PHI,WR,2026,2,31,41.0,0,0.0,3,8.8,2,1,25.0,0,0.0,8.3,25.0,34,32,4,1
00-0040075,LaJohntay Wester,BAL,WR,2026,2,31,53.0,0,0.0,2,6.9,1,0,0.0,0,0.0,5.0,10.0,29,22,1,1
00-0039915,Ladd McConkey,LAC,WR,2026,2,31,46.0,0,0.0,3,11.5,3,0,0.0,0,0.0,11.3,34.0,26,32,1,2
00-0040189,Oronde Gadsden II,LAC,TE,2026,2,30,44.0,0,0.0,2,7.7,2,1,100.0,0,0.0,9.0,18.0,26,32,1,2
00-0040719,Bhayshul Tuten,JAC,RB,2026,2,30,51.0,13,54.2,2,7.1,2,0,0.0,1,50.0,-4.0,-8.0,28,24,0,2
00-0032392,Austin Hooper,ATL,TE,2026,2,30,43.0,0,0.0,4,12.9,2,0,0.0,0,0.0,3.2,13.0,31,32,0,0
00-0033908,Cooper Kupp,SEA,WR,2026,2,30,43.0,0,0.0,2,7.7,2,0,0.0,0,0.0,7.0,14.0,26,40,3,8
00-0035208,Olamide Zaccheaus,ATL,WR,2026,2,30,43.0,0,0.0,3,9.7,1,0,0.0,0,0.0,2.3,7.0,31,32,0,0
00-0033307,Kendrick Bourne,ARI,WR,2026,2,30,60.0,0,0.0,3,11.5,2,0,0.0,0,0.0,3.3,10.0,26,17,2,0
00-0035644,Noah Fant,NO,TE,2026,2,30,44.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,32,28,2,3
