"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","139","Josh Downs","9.0","7.0","WR","IND","13","16.07","128.7","142.0","153.2","220.6","167.1","0.3","$1","$1"
"","140","Mark Andrews","9.0","4.0","TE","BAL","13","17.07","127.1","129.0","138.1","183.7","148.5","0.3","$2","$1"
"","141","Eddy Pineiro","9.0","2.0","K","SF","8","18.06","143.7","130.0","151.3","172.5","155.7","0.0","$1","$1"
"","142","Harrison Mevis","9.0","2.0","K","LAR","11","17.05","145.1","133.0","149.6","175.0","155.7","0.0","$1","$1"
"","143","Woody Marks","10.0","10.0","RB","HOU","8","18.02","104.2","104.0","115.8","222.3","142.7","0.0","$1","$1"
"","144","Chris Godwin","9.0","7.0","WR","TB","10","12.07","128.0","147.0","152.4","221.0","166.7","0.0","$1","$1"
"","145","Los Angeles Rams","10.0","2.0","DEF","LAR","11","12.04","105.7","78.0","105.7","105.7","105.7","0.0","$1","$1"
"","146","Kansas City Chiefs","10.0","2.0","DEF","KC","5","23.01","105.5","66.0","105.5","105.5","105.5","0.0","$1","$1"
"","147","Trey Smack","10.0","2.0","K","GB","11","29.06","143.3","134.0","149.3","174.7","155.1","0.0","$1","$1"
"","148","Sam Darnold","10.0","4.0","QB","SEA","11","22.03","256.3","260.0","258.9","388.4","293.8","0.0","$1","$1"
"Sleeper","149","Cameron 'Cam' Ward","10.0","4.0","QB","TEN","9","24.06","252.8","239.0","258.0","392.2","293.7","0.0","$1","$1"
"","150","Jacksonville Jaguars","10.0","2.0","DEF","JAC","7","20.03","104.5","69.0","104.5","104.5","104.5","0.0","$1","$1"
"","151","Romeo Doubs","10.0","7.0","WR","NE","11","18.03","128.2","139.0","152.6","215.2","165.2","0.0","$1","$1"
"Sleeper","152","Dalton Kincaid","10.0","4.0","TE","BUF","7","19.05","126.2","133.0","135.7","183.2","146.9","0.0","$2","$1"
"","153","Aaron Rodgers","10.0","4.0","QB","PIT","9","121.08","254.1","228.0","259.3","386.4","293.0","0.0","$1","$1"
"","154","Tyrone Tracy Jr.","10.0","10.0","RB","NYG","8","24.04","93.8","101.0","103.1","237.1","138.0","0.0","$1","$1"
"","155","New York Giants","10.0","2.0","DEF","NYG","8","118.07","103.6","64.0","103.6","103.6","103.6","0.0","$1","$1"
"","156","Wil Lutz","10.0","2.0","K","DEN","10","123.05","144.9","121.0","147.9","171.6","153.8","0.0","$1","$1"
"","157","KC Concepcion","10.0","7.0","WR","CLE","11","16.02","120.2","123.0","150.2","217.8","163.2","0.0","$1","$1"
"","158","Harrison Butker","10.0","2.0","K","KC","5","19.06","145.0","124.0","148.0","170.2","153.5","0.0","$1","$1"
"","159","Philadelphia Eagles","10.0","2.0","DEF","PHI","10","16.08","102.7","68.0","102.7","102.7","102.7","0.0","$2","$1"
"","160","Dylan Sampson","10.0","10.0","RB","CLE","11","127.07","98.2","85.0","112.9","203.2","134.9","0.0","$1","$1"
"","161","Charlie Smyth","10.0","2.0","K","NO","8","126.05","143.5","119.0","147.9","170.1","153.2","0.0","$1","$1"
"","162","Los Angeles Chargers","10.0","2.0","DEF","LAC","7","21.06","102.2","66.0","102.2","102.2","102.2","0.0","$1","$1"
"","163","Buffalo Bills","10.0","2.0","DEF","BUF","7","123.06","102.0","71.0","102.0","102.0","102.0","0.0","$1","$1"
"","164","Alvin Kamara","10.0","10.0","RB","NO","8","18.08","90.8","91.0","100.9","227.0","133.5","0.0","$1","$1"
"Sleeper","165","Jayden Higgins","10.0","7.0","WR","HOU","8","20.07","125.3","130.0","142.4","226.4","162.2","0.0","$1","$1"
"","166","Matthew Golden","10.0","8.0","WR","GB","11","14.07","125.2","126.0","137.6","235.3","162.0","0.0","$1","$1"
"","167","Stefon Diggs","10.0","8.0","WR","UNS","18","21.08","109.3","134.0","154.0","212.5","161.8","0.0","$1","$1"
