"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"Injured","76","George Kittle","6.0","4.0","TE","SF","8","6.01","70.4","113.0","117.3","174.8","124.5","27.7","$15","$17"
"","77","Brian Thomas Jr.","7.0","6.0","WR","JAC","7","7.08","114.0","117.0","129.6","194.4","144.4","27.6","$20","$17"
"Value","78","Trevor Lawrence","6.0","2.0","QB","JAC","7","8.11","278.3","303.0","327.4","412.5","341.7","27.6","$15","$17"
"","79","Chuba Hubbard","7.0","7.0","RB","CAR","5","6.03","128.8","145.0","151.5","240.9","171.8","27.6","$8","$17"
"","80","Courtland Sutton","7.0","6.0","WR","DEN","10","6.07","117.7","119.0","136.9","176.6","144.2","27.5","$10","$17"
"","81","Rhamondre Stevenson","7.0","7.0","RB","NE","11","8.07","135.1","147.0","155.3","226.7","171.1","27.4","$7","$17"
"","82","Justin Herbert","7.0","2.0","QB","LAC","7","9.04","279.1","305.0","324.5","415.4","341.0","27.3","$15","$17"
"","83","Quentin Johnston","7.0","6.0","WR","LAC","7","10.06","109.1","113.0","131.4","189.2","143.1","26.9","$8","$16"
"Value","84","Jayden Reed","7.0","6.0","WR","GB","11","10.11","114.4","111.0","134.6","179.0","143.0","26.8","$8","$16"
"","85","Carnell Tate","7.0","6.0","WR","TEN","9","4.13","110.4","124.0","131.4","185.3","142.3","26.4","$15","$16"
"","86","Brock Purdy","7.0","2.0","QB","SF","8","7.09","278.2","297.0","323.5","407.6","338.2","26.0","$10","$16"
"","87","Jordyn Tyson","7.0","6.0","WR","NO","8","6.09","108.6","112.0","130.9","184.6","141.5","26.0","$11","$16"
"","88","Kyle Pitts","7.0","4.0","TE","ATL","11","5.04","105.2","110.0","114.3","148.6","122.0","25.9","$13","$16"
"","89","Jordan Addison","7.0","6.0","WR","MIN","6","9.14","113.1","110.0","133.1","177.0","141.4","25.9","$8","$16"
"","90","Dak Prescott","7.0","2.0","QB","DAL","14","7.02","281.1","307.0","323.1","403.9","337.5","25.7","$15","$16"
"","91","Jaxson Dart","7.0","2.0","QB","NYG","8","5.08","278.2","302.0","316.1","417.3","336.8","25.4","$11","$15"
"","92","Jaylen Warren","7.0","7.0","RB","PIT","9","6.13","131.7","147.0","154.9","201.4","163.4","25.2","$6","$15"
"","93","Blake Corum","7.0","7.0","RB","LAR","11","9.08","122.3","128.0","128.7","254.8","161.9","24.8","$10","$15"
"","94","Rico Dowdle","7.0","7.0","RB","PIT","9","7.06","125.0","145.0","142.0","225.8","161.8","24.7","$8","$15"
"","95","Jordan Mason","7.0","7.0","RB","MIN","6","11.07","118.5","119.0","141.1","231.4","161.6","24.7","$7","$15"
"","96","Ricky Pearsall","7.0","7.0","WR","SF","8","9.02","105.2","105.0","129.9","179.3","138.9","24.4","$8","$15"
"","97","Xavier Worthy","7.0","7.0","WR","KC","5","9.13","105.0","112.0","126.5","186.0","138.8","24.4","$7","$15"
"","98","Kyle Monangai","8.0","8.0","RB","CHI","10","8.12","121.3","130.0","133.3","233.3","158.4","23.8","$7","$15"
"Injured","99","Bo Nix","8.0","2.0","QB","DEN","10","9.03","279.2","290.0","310.2","409.5","331.7","23.1","$11","$14"
"Injured","100","Patrick Mahomes","8.0","2.0","QB","KC","5","8.09","276.2","306.0","306.9","417.4","331.5","23.0","$10","$14"
"","101","Jacory Croskey-Merritt","8.0","8.0","RB","WAS","7","10.03","106.8","122.0","121.4","254.9","155.2","22.9","$12","$14"
"Value","102","Kyler Murray","8.0","2.0","QB","MIN","6","11.13","271.3","290.0","308.3","416.2","331.0","22.7","$9","$14"
"","103","Mark Andrews","8.0","4.0","TE","BAL","13","10.09","100.2","101.0","108.9","144.8","117.1","22.5","$28","$14"
"Sleeper","104","Jonathon Brooks","8.0","8.0","RB","CAR","5","9.11","104.4","100.0","124.3","244.9","153.6","22.4","$8","$14"
"Value","105","Jakobi Meyers","8.0","7.0","WR","JAC","7","7.13","110.1","106.0","126.5","160.7","132.9","20.9","$5","$13"
"","106","Travis Kelce","8.0","4.0","TE","KC","5","6.12","95.8","111.0","111.4","133.7","114.7","20.8","$10","$13"
"","107","Jared Goff","8.0","3.0","QB","DET","6","11.08","278.2","289.0","302.4","402.2","325.2","20.1","$5","$12"
"Injured","108","RJ Harvey","9.0","9.0","RB","DEN","10","8.10","106.0","119.0","126.2","209.5","145.3","20.1","$5","$12"
"","109","Makai Lemon","9.0","7.0","WR","PHI","10","8.05","98.0","101.0","115.3","184.5","131.0","19.8","$6","$12"
"Value","110","Michael Pittman Jr.","9.0","7.0","WR","PIT","9","6.06","108.3","114.0","124.5","158.1","130.7","19.7","$7","$12"
"Sleeper","111","Dalton Kincaid","9.0","5.0","TE","BUF","7","11.09","96.7","103.0","104.0","140.4","112.6","19.3","$18","$12"
"","112","Romeo Doubs","9.0","7.0","WR","NE","11","10.13","100.8","110.0","120.0","169.2","129.9","19.2","$7","$12"
"Injured","113","Chris Rodriguez","9.0","9.0","RB","JAC","7","13.04","96.0","102.0","104.4","248.5","142.2","19.2","$10","$12"
