"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","107","Jordan Mason","8.0","8.0","RB","MIN","6","11.07","131.0","143.0","156.0","255.8","178.7","23.6","$6","$13"
"","108","Blake Corum","8.0","8.0","RB","LAR","11","9.08","134.8","142.0","141.9","281.0","178.6","23.6","$9","$13"
"","109","Josh Downs","8.0","7.0","WR","IND","13","10.01","161.0","179.0","191.7","276.0","209.1","23.0","$6","$13"
"","110","Tyjae Spears","8.0","8.0","RB","TEN","9","11.01","129.5","141.0","154.2","248.3","175.4","23.0","$3","$13"
"","111","Chris Godwin","8.0","7.0","WR","TB","10","7.11","160.4","182.0","190.9","276.8","208.8","22.9","$4","$13"
"","112","Jordan Love","8.0","3.0","QB","GB","11","12.11","279.6","276.0","294.3","406.1","322.1","22.9","$5","$13"
"","113","Aaron Jones","8.0","8.0","RB","MIN","6","7.03","123.6","162.0","154.5","248.7","174.6","22.8","$7","$13"
"","114","Xavier Worthy","8.0","7.0","WR","KC","5","9.13","157.6","169.0","189.9","279.2","208.4","22.7","$6","$13"
"","115","Matthew Stafford","8.0","3.0","QB","LAR","11","7.01","276.1","286.0","296.9","400.8","321.5","22.7","$5","$13"
"Sleeper","116","Tyler Shough","8.0","3.0","QB","NO","8","11.12","269.0","269.0","295.6","405.0","320.6","22.4","$7","$13"
"","117","Jacory Croskey-Merritt","9.0","9.0","RB","WAS","7","10.03","117.0","136.0","132.9","279.1","169.9","21.9","$10","$12"
"","118","Baker Mayfield","9.0","3.0","QB","TB","10","12.03","274.8","277.0","289.3","402.1","317.4","21.3","$7","$12"
"Injured","119","Zach Charbonnet","9.0","9.0","RB","SEA","11","10.10","101.3","159.0","126.6","284.9","165.2","20.9","$5","$12"
"","120","Makai Lemon","9.0","7.0","WR","PHI","10","8.05","151.9","158.0","178.7","285.9","203.1","20.5","$6","$12"
"","121","Woody Marks","9.0","9.0","RB","HOU","8","10.12","117.8","116.0","130.9","251.3","161.4","20.2","$6","$12"
"","122","Dylan Sampson","9.0","9.0","RB","CLE","11","73.04","116.0","102.0","133.3","239.9","159.2","19.7","$4","$11"
"","123","Isiah Pacheco","9.0","9.0","RB","DET","6","10.14","111.3","103.0","125.1","256.5","158.4","19.6","$7","$11"
"","124","Stefon Diggs","9.0","7.0","WR","UNS","18","12.14","135.5","167.0","190.8","263.3","200.5","19.5","$5","$11"
"","125","Romeo Doubs","9.0","7.0","WR","NE","11","10.13","155.5","169.0","185.1","261.0","200.4","19.4","$6","$11"
"","126","Malik Willis","9.0","3.0","QB","MIA","6","14.03","266.7","266.0","274.9","409.6","310.2","19.0","$4","$11"
