Salary Cap Values #12
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Tyler Warren (TE - IND),13,$12,,,,,,,,,,Ty Chandler - NO,8,$0,,,,Ja'Kobi Lane - BAL,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Moore (WR - BUF),7,$11,,,,,,,,,,Ray Davis - BUF,7,$0,,,,Tyquan Thornton - KC,5,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle (WR - DEN),10,$11,,,,,,,,,,Emmett Johnson - KC,5,$0,,,,Tory Horton - SEA,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luther Burden III (WR - CHI),10,$11,,,,,,,,,,DJ Giddens - IND,13,$0,,,,Troy Franklin - DEN,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton (WR - DEN),10,$11,,,,,,,,,,Austin Ekeler - ,,$0,,,,Nick Westbrook-Ikhine - IND,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreVeyon Henderson (RB - NE),11,$10,,,,,,,,,,Sean Tucker - TB,10,$0,,,,Devaughn Vele - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Pitts Sr. (TE - ATL),11,$10,,,,,,,,,,Jonah Coleman - DEN,10,$0,,,,De'Zhaun Stribling - SF,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Mendoza (QB - LV),13,$9,,,,,,,,,,Brashard Smith - KC,5,$0,,,,Hollywood Brown - PHI,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Montgomery (RB - HOU),8,$9,,,,,,,,,,Trevor Etienne - CAR,5,$0,,,,Andrei Iosivas - CIN,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Pollard (RB - TEN),9,$9,,,,,,,,,,Phil Mafah - DAL,14,$0,,,,Ryan Flournoy - DAL,14,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jadarian Price (RB - SEA),11,$9,,,,,,,,,,Devin Singletary - NYG,8,$0,,,,Isaac TeSlaa - DET,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Evans (WR - SF),8,$9,,,,,,,,,,Jam Miller - NE,11,$0,,,,Jack Bech - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison Jr. (WR - ARI),14,$9,,,,,,,,,,Elijah Mitchell - PHI,10,$0,,,,Tre' Harris - LAC,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Watson (WR - GB),11,$9,,,,,,,,,,,,,,,,Jalen Tolbert - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK Metcalf (WR - PIT),9,$9,,,,,,,,,,,,,,,,Chris Bell - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Fannin Jr. (TE - CLE),11,$9,,,,,,,,,,,,,,,,Caleb Douglas - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren (RB - PIT),9,$8,,,,,,,,,,,,,,,,Dyami Brown - WAS,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard (RB - CAR),5,$8,,,,,,,,,,,,,,,,Ted Hurst III - TB,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Dowdle (RB - PIT),9,$8,,,,,,,,,,,,,,,,Jahan Dotson - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson (RB - NE),11,$8,,,,,,,,,,,,,,,,Dontayvion Wicks - PHI,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam LaPorta (TE - DET),6,$8,,,,,,,,,,,,,,,,Zachariah Branch - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.K. Dobbins (RB - DEN),10,$7,,,,,,,,,,,,,,,,Elic Ayomanor - TEN,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Goedert (TE - PHI),10,$7,,,,,,,,,,,,,,,,Ashton Dulin - IND,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Kelce (TE - KC),5,$7,,,,,,,,,,,,,,,,Chimere Dike - TEN,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Harvey (RB - DEN),10,$6,,,,,,,,,,,,,,,,Van Jefferson - WAS,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones Sr. (RB - MIN),6,$6,,,,,,,,,,,,,,,,Pat Bryant - DEN,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakobi Meyers (WR - JAC),7,$6,,,,,,,,,,,,,,,,Olamide Zaccheaus - ATL,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Pittman Jr. (WR - PIT),9,$6,,,,,,,,,,,,,,,,Xavier Legette - CAR,5,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachaad White (RB - WAS),7,$5,,,,,,,,,,,,,,,,Savion Williams - GB,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Monangai (RB - CHI),10,$5,,,,,,,,,,,,,,,,Joshua Palmer - BUF,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Gainwell (RB - TB),10,$5,,,,,,,,,,,,,,,,Xavier Hutchinson - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
