Overall,,,,,QB,,,,,RB,,,,,WR,,,,,TE,,,,,DST,,,,,Superflex,,,,,K,,,,,P,,,,,TM-QB,,,,,TM-RB,,,,,TM-WR,,,,,TM-TE,,,,,TM-K,,,,,HC,,,,,TM-OL,,,,,
Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,
"Kyren Williams",LAR,"RB",23059,,,,,,,"Jonah Coleman",DEN,"RB",27320,,"Wan'Dale Robinson",TEN,"WR",22985,,"Noah Gray",KC,"TE",19539,,,,,,,"Jeremiyah Love",ARI,"RB",25403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lamar Jackson",BAL,"QB",17233,,,,,,,"Zach Charbonnet",SEA,"RB",23152,,"Josh Downs",IND,"WR",24706,,"Jonnu Smith",FA,"TE",16460,,,,,,,"Tee Higgins",CIN,"WR",19211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Emeka Egbuka",TB,"WR",23062,,,,,,,"Isiah Pacheco",DET,"RB",24333,,"Quentin Johnston",LAC,"WR",23123,,"Justin Joly",DEN,"TE",28079,,,,,,,"Garrett Wilson",NYJ,"WR",23072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Watson",GB,"WR",23886,,,,,,,"Dylan Sampson",CLE,"RB",27102,,"Romeo Doubs",NE,"WR",23794,,"Jake Tonges",SF,"TE",24778,,,,,,,"Josh Jacobs",GB,"RB",18269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tyler Warren",IND,"TE",26434,,,,,,,"Keaton Mitchell",LAC,"RB",25360,,"Xavier Worthy",KC,"WR",23019,,"Oscar Delp",NO,"TE",25430,,,,,,,"Baker Mayfield",TB,"QB",17237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mike Evans",SF,"WR",12119,,,,,,,"Woody Marks",HOU,"RB",27520,,"Jayden Higgins",HOU,"WR",27077,,"Erick All Jr.",CIN,"TE",23837,,,,,,,"Breece Hall",NYJ,"RB",22982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jameson Williams",DET,"WR",23677,,,,,,,"Brian Robinson Jr.",ATL,"RB",20094,,"Jalen Coker",CAR,"WR",26403,,"Noah Fant",NO,"TE",17527,,,,,,,"Tetairoa McMillan",CAR,"WR",25417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bucky Irving",TB,"RB",25981,,,,,,,"Alvin Kamara",NO,"RB",16421,,"Khalil Shakir",BUF,"WR",23748,,"Eli Raridon",NE,"TE",28154,,,,,,,"Zay Flowers",BAL,"WR",22916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D'Andre Swift",CHI,"RB",19210,,,,,,,"Emmett Johnson",KC,"RB",28107,,"Matthew Golden",GB,"WR",26024,,"Taysom Hill",FA,"TE",17115,,,,,,,"Colston Loveland",CHI,"TE",26006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rome Odunze",CHI,"WR",25411,,,,,,,"Kaytron Allen",WAS,"RB",24362,,"Omar Cooper Jr.",NYJ,"WR",28127,,"Mitchell Evans",CAR,"TE",27138,,,,,,,"Jordan Love",GB,"QB",19246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DJ Moore",BUF,"WR",17265,,,,,,,"Nicholas Singleton",TEN,"RB",24343,,"Rashid Shaheed",SEA,"WR",24687,,"Luke Musgrave",GB,"TE",25282,,,,,,,"Malik Willis",MIA,"QB",23499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quinshon Judkins",CLE,"RB",25391,,,,,,,"Emanuel Wilson",SEA,"RB",25885,,"Brandon Aiyuk",SF,"WR",19252,,"Daniel Bellinger",TEN,"TE",24238,,,,,,,"Ladd McConkey",LAC,"WR",26122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drake Maye",NE,"QB",23046,,,,,,,"Braelon Allen",NYJ,"RB",24346,,"Denzel Boston",CLE,"WR",27339,,"DJ Rogers",DAL,"TE",28348,,,,,,,"Derrick Henry",BAL,"RB",15514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TreVeyon Henderson",NE,"RB",23065,,,,,,,"Mike Washington Jr.",LV,"RB",28108,,"Jauan Jennings",MIN,"WR",19590,,"Austin Hooper",ATL,"TE",15581,,,,,,,"Luther Burden III",CHI,"WR",27016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"David Montgomery",HOU,"RB",18239,,,,,,,"James Conner",ARI,"RB",16447,,"Jalen McMillan",TB,"WR",23179,,"Nate Boerkircher",JAC,"TE",28427,,,,,,,"C.J. Stroud",HOU,"QB",23071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carnell Tate",TEN,"WR",26009,,,,,,,"Tank Bigsby",PHI,"RB",22908,,"Jerry Jeudy",CLE,"WR",19201,,,,,,,,,,,,"Javonte Williams",DAL,"RB",22739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jordyn Tyson",NO,"WR",26035,,,,,,,"Sean Tucker",TB,"RB",23679,,"Antonio Williams",WAS,"WR",25418,,,,,,,,,,,,"Travis Etienne Jr.",NO,"RB",19231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
