Overall,,,,,QB,,,,,RB,,,,,WR,,,,,TE,,,,,DST,,,,,Superflex,,,,,K,,,,,P,,,,,TM-QB,,,,,TM-RB,,,,,TM-WR,,,,,TM-TE,,,,,TM-K,,,,,HC,,,,,TM-OL,,,,,
Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,
"Tyler Warren",IND,"TE",26434,,,,,,,"Emmett Johnson",KC,"RB",28107,,"Jakobi Meyers",JAC,"WR",18598,,"Tommy Tremble",CAR,"TE",22795,,,,,,,"Jayden Daniels",WAS,"QB",22902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Christian Watson",GB,"WR",23886,,,,,,,"Brian Robinson Jr.",ATL,"RB",20094,,"Romeo Doubs",NE,"WR",23794,,"Jonnu Smith",GB,"TE",16460,,,,,,,"Cam Skattebo",NYG,"RB",27166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quinshon Judkins",CLE,"RB",25391,,,,,,,"Dylan Sampson",CLE,"RB",27102,,"Jalen Coker",CAR,"WR",26403,,"Ja'Tavion Sanders",CAR,"TE",24334,,,,,,,"David Montgomery",HOU,"RB",18239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Terry McLaurin",WAS,"WR",18466,,,,,,,"Zach Charbonnet",SEA,"RB",23152,,"Khalil Shakir",BUF,"WR",23748,,"Max Klare",LAR,"TE",27993,,,,,,,"Tyler Warren",IND,"TE",26434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drake Maye",NE,"QB",23046,,,,,,,"Braelon Allen",NYJ,"RB",24346,,"Deebo Samuel Sr.",SF,"WR",18244,,"Daniel Bellinger",TEN,"TE",24238,,,,,,,"Christian Watson",GB,"WR",23886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jadarian Price",SEA,"RB",27329,,,,,,,"Ray Davis",BUF,"RB",26191,,"Rashid Shaheed",SEA,"WR",24687,,"Austin Hooper",ATL,"TE",15581,,,,,,,"Quinshon Judkins",CLE,"RB",25391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DJ Moore",BUF,"WR",17265,,,,,,,"Alvin Kamara",NO,"RB",16421,,"Tre Tucker",LV,"WR",25337,,"Marlin Klein",HOU,"TE",28157,,,,,,,"Terry McLaurin",WAS,"WR",18466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joe Burrow",CIN,"QB",19196,,,,,,,"Kaelon Black",SF,"RB",28401,,"Denzel Boston",CLE,"WR",27339,,"Ben Sinnott",WAS,"TE",26310,,,,,,,"Jadarian Price",SEA,"RB",27329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhayshul Tuten",JAC,"RB",27297,,,,,,,"Kimani Vidal",LAC,"RB",26355,,"Jordyn Tyson",NO,"WR",26035,,"Mitchell Evans",CAR,"TE",27138,,,,,,,"Jalen Hurts",PHI,"QB",19275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rome Odunze",CHI,"WR",25411,,,,,,,"Malik Davis",DAL,"RB",24205,,"Kayshon Boutte",HOU,"WR",22989,,"Elijah Higgins",ARI,"TE",23119,,,,,,,"DJ Moore",BUF,"WR",17265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mike Evans",SF,"WR",12119,,,,,,,"Najee Harris",NYG,"RB",19302,,"Jalen McMillan",TB,"WR",23179,,,,,,,,,,,,"Bhayshul Tuten",JAC,"RB",27297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
